Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
DRI59,OUT049,4950.8888
NCG54,OUT035,2897.5616
FDM44,OUT046,1289.6546
FDT57,OUT018,1906.8512
FDV24,OUT046,1921.4988
FDI50,OUT019,451.4124
FDS09,OUT035,1076.5986
NCC31,OUT027,3281.0624
FDQ07,OUT019,430.1068
FDC22,OUT017,2269.0464
FDZ56,OUT046,2863.6058
FDZ40,OUT019,229.0352
FDS46,OUT027,1549.3166
DRD24,OUT045,2669.1922
FDV45,OUT017,3554.7062
FDL26,OUT045,4206.5244
FDA56,OUT018,1231.73
FDN27,OUT046,1540.6612
FDM20,OUT049,7105.4176
FDO16,OUT017,1414.825
FDL03,OUT035,1587.2672
FDE58,OUT046,2519.3872
FDI02,OUT027,3870.9612
NCC55,OUT019,37.9506
FDR03,OUT018,4141.276
FDB14,OUT017,1358.232
FDR45,OUT013,6353.0636
NCN07,OUT017,642.497
FDM51,OUT019,206.398
FDT52,OUT027,10072.8882
FDL26,OUT046,3894.93
NCZ42,OUT046,5451.5704
DRI47,OUT019,451.4124
FDW40,OUT013,3277.0676
FDN34,OUT046,5201.2296
FDS01,OUT035,4460.86
NCG55,OUT045,579.246
FDC11,OUT035,1159.8236
FDX35,OUT018,1579.9434
NCB06,OUT046,1597.92
FDR09,OUT019,255.6672
FDC53,OUT017,1174.4712
FDY45,OUT013,3358.2952
FDA22,OUT010,166.45
FDE02,OUT035,2856.282
FDW21,OUT045,1508.037
FDV34,OUT046,856.8846
FDS59,OUT049,2746.425
NCW17,OUT017,3147.9024
NCK54,OUT046,703.0848
FDG17,OUT019,691.1004
FDG35,OUT017,2954.1546
FDD08,OUT010,75.9012
NCO07,OUT017,4029.4216
FDJ10,OUT010,131.1626
FDW36,OUT017,1135.189
FDW21,OUT010,101.2016
FDY19,OUT017,1649.8524
DRE03,OUT013,790.9704
NCC55,OUT049,1065.28
FDH52,OUT010,126.502
FDO09,OUT017,2649.884
FDU43,OUT045,3605.307
FDX09,OUT010,176.437
FDH40,OUT019,293.6178
FDW58,OUT017,2153.1972
FDC47,OUT017,5946.9256
NCR41,OUT035,761.6752
DRG49,OUT035,7086.1094
FDC52,OUT027,4374.306
FDY13,OUT046,856.8846
FDY35,OUT013,703.0848
FDI35,OUT017,5452.902
NCU18,OUT049,1685.8056
FDY33,OUT018,1104.5622
FDC15,OUT027,5000.8238
FDU01,OUT049,4997.4948
NCU42,OUT046,4211.185
NCV29,OUT018,1416.8224
NCY30,OUT017,2918.8672
FDQ46,OUT049,1697.79
FDG58,OUT027,2972.797
FDK33,OUT017,5366.348
NCD07,OUT045,683.1108
NCX29,OUT027,3661.9
NCT42,OUT013,2982.784
DRN59,OUT035,419.454
FDI44,OUT035,649.8208
FDA45,OUT049,2999.429
FDP31,OUT045,743.0328
FDY01,OUT046,1382.2008
FDT09,OUT018,1854.9188
DRH03,OUT027,2956.152
FDA36,OUT018,4943.565
NCF31,OUT017,1821.6288
FDG14,OUT049,2524.0478
FDG28,OUT027,5466.8838
FDU14,OUT049,3745.125
FDY47,OUT019,250.3408
FDI56,OUT049,1733.0774
DRD01,OUT013,1049.9666
FDM22,OUT046,552.614
FDH33,OUT013,585.904
DRZ24,OUT013,3115.944
NCQ38,OUT046,2036.6822
FDO16,OUT027,1331.6
FDU07,OUT027,3339.6528
NCB07,OUT013,2876.256
FDU48,OUT045,1701.7848
NCM43,OUT045,1816.3024
FDR31,OUT010,149.805
DRK49,OUT018,123.8388
NCI30,OUT010,884.1824
DRD60,OUT017,1999.3974
NCG19,OUT046,1556.6404
FDH12,OUT035,1091.912
FDM32,OUT035,275.6412
FDM27,OUT035,4332.3606
NCU53,OUT027,4769.1254
NCQ18,OUT046,1544.656
FDS10,OUT013,2479.4392
FDB33,OUT027,5500.8396
FDI12,OUT013,1669.8264
NCW42,OUT013,4488.1578
NCC06,OUT018,1284.994
FDW02,OUT017,1733.7432
NCD43,OUT017,1435.4648
FDM57,OUT018,503.3448
FDA58,OUT017,3961.51
FDK56,OUT046,4442.2176
FDP52,OUT045,3215.814
FDW20,OUT018,1120.5414
FDS52,OUT049,1315.6208
NCT29,OUT018,2037.348
NCL54,OUT013,3502.108
FDC05,OUT045,1970.768
FDF34,OUT035,1701.7848
FDP03,OUT027,4482.1656
FDD32,OUT010,175.7712
FDZ10,OUT045,1298.31
FDZ40,OUT035,1209.7586
FDD51,OUT018,790.9704
NCY30,OUT019,356.8688
FDP58,OUT017,4187.2162
FDV49,OUT017,5815.0972
FDY24,OUT019,147.8076
NCO55,OUT017,1693.7952
FDR13,OUT017,810.9444
FDS51,OUT017,743.0328
FDP26,OUT045,627.1836
NCB54,OUT027,3668.558
FDF32,OUT017,2759.0752
FDN31,OUT018,3099.9648
DRM48,OUT017,596.5568
FDN20,OUT049,6426.3016
DRL01,OUT046,3215.814
FDV56,OUT049,1230.3984
DRH13,OUT027,2387.5588
FDA03,OUT017,2659.871
FDF47,OUT027,4739.8302
FDX32,OUT046,3595.32
FDX57,OUT049,2721.7904
NCA30,OUT045,4933.578
FDO49,OUT013,820.2656
FDL04,OUT019,211.7244
DRM48,OUT035,1171.808
FDR16,OUT013,6291.81
NCC19,OUT018,2087.283
NCE42,OUT045,3271.7412
FDY24,OUT017,1995.4026
FDH19,OUT049,521.3214
FDJ46,OUT013,2460.7968
FDN45,OUT010,913.4776
FDY08,OUT035,1685.8056
FDZ37,OUT035,818.934
NCT30,OUT045,850.8924
DRY23,OUT018,340.8896
NCZ30,OUT018,1864.24
FDC44,OUT018,787.6414
FDB45,OUT035,1419.4856
FDY04,OUT013,1808.9786
FDM27,OUT046,4224.501
FDZ43,OUT017,7028.1848
FDT39,OUT019,311.5944
NCC06,OUT019,852.8898
FDL15,OUT027,5031.4506
FDL57,OUT017,7064.8038
FDU08,OUT046,1091.2462
FDK40,OUT017,3681.874
FDQ12,OUT010,689.103
FDS48,OUT017,1062.6168
FDP09,OUT045,4247.804
FDW21,OUT049,1534.0032
FDY25,OUT035,4287.752
DRE13,OUT017,872.198
FDV43,OUT019,123.8388
FDD22,OUT045,1310.2944
FDM46,OUT019,199.74
NCO30,OUT010,387.4956
FDM25,OUT046,3339.6528
NCN41,OUT049,2586.633
FDU24,OUT045,1701.7848
FDZ50,OUT046,3355.632
FDP45,OUT013,3020.0688
NCM54,OUT045,1369.5506
FDW10,OUT019,352.874
FDP20,OUT017,2656.542
FDK32,OUT046,2439.4912
FDN52,OUT049,852.224
FDM58,OUT045,2572.6512
FDZ46,OUT027,4250.4672
NCA18,OUT018,1006.6896
FDD35,OUT046,2802.3522
NCK31,OUT035,291.6204
FDI40,OUT027,3903.5854
FDT50,OUT019,277.6386
NCT06,OUT046,4711.2008
FDT31,OUT035,3225.801
FDT45,OUT049,571.2564
FDT13,OUT045,5069.4012
FDO50,OUT045,2141.2128
NCU18,OUT010,564.5984
NCR54,OUT049,2740.4328
NCO18,OUT018,3276.4018
FDU09,OUT045,1255.6988
FDT13,OUT018,2458.1336
FDE09,OUT046,1436.7964
NCK53,OUT019,103.199
FDG45,OUT049,4687.232
DRH15,OUT035,1537.998
FDO21,OUT019,451.4124
FDD14,OUT027,5901.6512
FDC09,OUT046,1230.3984
FDH45,OUT027,847.5634
FDV32,OUT046,1201.769
FDG12,OUT035,964.0784
FDS32,OUT013,1713.7692
NCL55,OUT018,5287.7836
DRE01,OUT035,5331.7264
DRE15,OUT049,2277.036
NCL42,OUT045,6615.3888
FDP31,OUT013,830.9184
FDN33,OUT018,283.6308
FDZ59,OUT046,5077.3908
FDE45,OUT010,716.4008
FDJ07,OUT013,1549.3166
FDQ45,OUT018,2726.451
FDM33,OUT027,5289.1152
FDO15,OUT010,221.7114
FDM46,OUT013,1177.1344
FDR03,OUT045,1667.1632
FDY49,OUT018,3289.052
FDQ60,OUT045,824.9262
FDW10,OUT049,3123.9336
FDO51,OUT049,671.1264
FDJ40,OUT018,1012.016
FDS20,OUT018,2380.235
FDU45,OUT013,2908.2144
FDV02,OUT035,2005.3896
FDN09,OUT046,6579.4356
NCM55,OUT027,3728.48
FDN23,OUT018,2157.192
FDY31,OUT010,149.805
FDW03,OUT010,215.7192
FDD14,OUT046,2766.399
FDV23,OUT017,2848.2924
DRI03,OUT045,1416.8224
FDN13,OUT035,2759.0752
FDF45,OUT027,2143.876
FDU46,OUT035,966.7416
FDB57,OUT049,2223.772
FDV12,OUT049,1922.8304
FDQ58,OUT013,2982.784
NCA18,OUT017,579.246
FDH52,OUT049,822.263
FDM24,OUT018,3187.8504
NCP43,OUT027,7968.2944
NCO18,OUT019,356.8688
FDM32,OUT017,703.0848
NCL07,OUT017,439.428
FDK03,OUT013,6079.4198
FDP59,OUT017,623.1888
FDQ24,OUT049,6199.9296
FDQ16,OUT018,1149.8366
FDU44,OUT013,1901.5248
FDH28,OUT010,67.9116
FDV28,OUT019,135.8232
FDM22,OUT045,1118.544
FDR56,OUT046,1725.7536
FDV39,OUT049,785.644
FDU37,OUT019,117.1808
FDQ11,OUT010,1288.323
FDX02,OUT045,1350.2424
NCS42,OUT018,729.7168
FDY57,OUT027,2363.59
FDB21,OUT049,1231.73
FDE28,OUT017,4146.6024
FDQ55,OUT017,2633.9048
FDA48,OUT049,5099.3622
FDZ19,OUT045,2988.1104
NCC43,OUT045,2790.3678
NCV18,OUT046,3162.55
NCA42,OUT018,2750.4198
FDY45,OUT046,1808.3128
NCC30,OUT045,1062.6168
FDM57,OUT013,671.1264
FDL09,OUT010,167.7816
FDB09,OUT027,5404.9644
FDT44,OUT035,2607.2728
NCT06,OUT027,2631.2416
FDX26,OUT049,4725.8484
FDK32,OUT013,2428.8384
DRA12,OUT046,4093.3384
FDO46,OUT010,945.436
FDE52,OUT013,1193.1136
NCH42,OUT045,4580.704
FDV08,OUT035,284.2966
FDB47,OUT018,2350.9398
FDC28,OUT010,110.5228
FDD22,OUT046,2908.2144
FDS07,OUT027,5351.0346
DRI13,OUT045,4572.0486
FDG32,OUT018,4326.3684
FDU14,OUT017,4845.0266
FDD28,OUT019,123.8388
NCP41,OUT017,1334.2632
FDS08,OUT049,1263.0226
FDX47,OUT045,1571.288
FDC53,OUT019,101.2016
FDQ19,OUT035,969.4048
FDL14,OUT045,2482.1024
FDM33,OUT019,774.9912
FDA51,OUT045,1958.1178
FDZ27,OUT018,425.4462
FDT04,OUT046,615.1992
DRC13,OUT049,2956.152
FDR16,OUT027,5806.4418
FDQ03,OUT027,9227.988
FDE38,OUT035,2466.789
DRH23,OUT027,2597.2858
FDT11,OUT019,563.2668
FDD09,OUT035,1810.976
FDR40,OUT045,1949.4624
FDX07,OUT017,2876.256
FDR07,OUT035,2220.443
FDA51,OUT017,1958.1178
FDT59,OUT019,1524.0162
FDF20,OUT017,2116.5782
FDR13,OUT045,1274.3412
FDY26,OUT049,2540.6928
FDW04,OUT017,3392.9168
FDK52,OUT017,6771.186
FDN60,OUT049,2535.3664
FDM09,OUT019,509.337
FDP46,OUT049,2247.075
FDB50,OUT019,95.8752
NCQ29,OUT049,2603.278
FDP16,OUT027,7150.692
FDX33,OUT018,1283.6624
FDP07,OUT010,585.2382
FDN22,OUT046,5960.2416
FDF39,OUT049,2636.568
FDS21,OUT017,552.614
NCM42,OUT013,3281.7282
FDK50,OUT019,1010.6844
DRF13,OUT027,4363.6532
FDH35,OUT018,3874.2902
FDP60,OUT018,1263.6884
DRJ49,OUT027,2127.231
NCT42,OUT019,296.9468
FDE38,OUT049,1315.6208
FDI04,OUT049,3559.3668
NCH54,OUT045,3994.8
FDT56,OUT049,703.0848
DRD15,OUT018,3089.9778
FDV58,OUT013,1438.128
FDP21,OUT049,1491.392
FDH05,OUT013,3243.7776
FDR10,OUT027,3797.7232
NCP06,OUT045,2916.204
FDF33,OUT049,2049.3324
DRK37,OUT013,3605.307
DRH49,OUT045,1155.8288
FDT58,OUT013,3355.632
FDD41,OUT018,736.3748
FDP40,OUT018,2263.72
FDM51,OUT027,2777.7176
FDO45,OUT010,171.7764
FDW33,OUT010,215.7192
FDY24,OUT045,1995.4026
FDB10,OUT010,689.103
FDM40,OUT035,1596.5884
NCI06,OUT017,2563.33
FDW12,OUT019,291.6204
FDX48,OUT027,3723.1536
NCW05,OUT027,2596.62
FDX27,OUT017,1174.4712
DRM37,OUT045,1970.768
FDA38,OUT045,3133.2548
FDR36,OUT046,679.116
FDZ45,OUT046,4761.8016
FDG05,OUT017,1342.2528
FDK28,OUT013,5410.9566
FDV47,OUT045,1860.2452
FDN21,OUT045,4492.8184
FDP20,OUT027,1310.2944
FDI35,OUT045,5452.902
DRY23,OUT013,1155.8288
FDA56,OUT017,2277.036
FDB09,OUT013,2586.633
NCO26,OUT027,4952.8862
FDQ49,OUT018,3129.26
FDI52,OUT027,2543.356
FDZ44,OUT027,5351.0346
FDZ09,OUT018,4436.8912
FDY03,OUT049,2348.9424
NCG42,OUT017,642.497
DRI13,OUT027,6769.8544
FDQ32,OUT013,632.51
FDW16,OUT035,543.2928
FDU27,OUT046,1034.6532
FDR28,OUT010,437.4306
FDQ49,OUT010,158.4604
FDS37,OUT046,810.9444
FDW26,OUT018,1768.3648
FDX12,OUT018,1607.907
NCP06,OUT013,2569.3222
FDW45,OUT010,147.1418
NCN30,OUT049,1061.951
FDN24,OUT049,928.1252
NCL41,OUT027,1693.7952
FDR02,OUT019,331.5684
FDD09,OUT010,360.8636
FDS33,OUT010,259.662
FDU22,OUT045,2133.2232
FDI53,OUT013,2577.9776
DRH01,OUT049,2085.2856
FDX32,OUT013,2290.352
NCP30,OUT018,265.6542
FDB60,OUT045,1864.24
FDB14,OUT049,1304.968
NCP02,OUT035,801.6232
FDJ10,OUT017,2098.6016
FDG34,OUT046,2572.6512
NCB18,OUT017,1631.8758
FDM16,OUT049,1655.1788
FDW25,OUT018,2061.3168
FDB35,OUT010,89.883
DRN11,OUT013,1596.5884
FDF41,OUT019,251.6724
FDH16,OUT045,808.947
NCQ50,OUT018,3589.9936
DRH23,OUT018,858.882
DRJ37,OUT013,2580.6408
DRJ24,OUT027,7192.6374
FDY16,OUT035,2006.7212
FDQ27,OUT045,2631.2416
FDZ33,OUT045,1182.4608
FDF29,OUT045,908.817
FDA08,OUT049,1808.9786
FDG31,OUT046,1120.5414
FDE34,OUT019,1126.5336
NCR30,OUT027,1290.3204
FDV33,OUT035,4005.4528
DRZ24,OUT018,829.5868
NCL54,OUT035,3251.1014
FDR12,OUT049,2233.0932
NCC54,OUT046,4579.3724
DRN59,OUT013,1039.9796
FDX50,OUT019,218.3824
FDV31,OUT027,3705.177
NCA29,OUT027,7152.0236
FDW60,OUT049,2999.429
FDX08,OUT017,2918.8672
DRD49,OUT013,5243.8408
FDD33,OUT046,3435.528
FDW35,OUT013,639.168
FDJ36,OUT017,1629.8784
FDV51,OUT035,1155.8288
FDW36,OUT046,2024.032
FDH35,OUT046,1644.526
NCS30,OUT027,3195.84
FDN49,OUT017,341.5554
FDL08,OUT018,2702.4822
FDI09,OUT013,2396.88
FDP19,OUT018,1573.9512
FDU21,OUT010,36.619
NCP41,OUT045,1856.2504
FDY10,OUT013,787.6414
FDP12,OUT018,564.5984
NCN26,OUT049,810.9444
FDK44,OUT013,3078.6592
FDC28,OUT049,976.7286
FDJ41,OUT027,6574.775
NCT29,OUT035,5022.7952
NCH42,OUT019,663.1368
FDU60,OUT018,3874.2902
FDS02,OUT045,2836.308
FDC51,OUT046,3325.671
FDU03,OUT013,3872.9586
FDX39,OUT045,6331.758
NCY05,OUT010,37.9506
NCL06,OUT027,6872.3876
FDD32,OUT035,1208.427
NCN41,OUT045,2586.633
NCX53,OUT049,3545.385
FDU57,OUT019,149.805
FDQ23,OUT046,1547.985
FDQ52,OUT045,3775.086
FDC14,OUT045,209.727
FDY09,OUT035,1751.054
FDQ28,OUT045,1390.1904
FDV25,OUT046,4420.912
FDJ07,OUT035,1406.1696
DRB25,OUT049,857.5504
FDK52,OUT019,1148.505
FDY52,OUT027,1534.0032
FDB28,OUT046,392.822
FDT36,OUT035,276.9728
FDV25,OUT017,5747.1856
NCN07,OUT027,3179.195
FDC57,OUT017,6641.355
FDQ03,OUT018,2316.984
FDU23,OUT017,3797.7232
NCX41,OUT035,3811.0392
NCD06,OUT035,652.484
FDW08,OUT045,1278.336
NCU29,OUT017,1603.9122
NCE06,OUT013,2886.243
FDV52,OUT010,377.5086
FDB02,OUT017,2999.429
NCR18,OUT045,649.155
FDK16,OUT049,2167.8448
NCQ29,OUT010,225.0404
FDZ01,OUT019,203.7348
FDW27,OUT035,1571.288
FDD17,OUT018,2241.0828
FDW39,OUT013,2117.244
DRH59,OUT045,1138.518
FDS52,OUT013,1315.6208
FDU40,OUT027,3163.8816
NCF54,OUT013,1587.933
FDH46,OUT045,2255.7304
NCP14,OUT049,3383.5956
FDH50,OUT049,2510.066
DRF15,OUT010,308.9312
FDV27,OUT027,1845.5976
NCJ06,OUT049,2621.9204
FDN02,OUT018,515.3292
FDQ51,OUT049,307.5996
FDQ07,OUT017,6410.3224
FDS45,OUT049,1693.7952
NCJ06,OUT045,2621.9204
FDD36,OUT035,1787.673
FDY25,OUT045,3542.056
FDU52,OUT046,1662.5026
DRK47,OUT017,4326.3684
NCL30,OUT017,2173.1712
FDN22,OUT035,5960.2416
NCF30,OUT027,4916.933
FDK03,OUT035,6079.4198
FDT45,OUT017,1007.3554
NCC54,OUT027,3297.7074
FDP08,OUT018,2492.7552
FDU44,OUT046,4171.9028
DRG39,OUT035,461.3994
FDU32,OUT049,602.549
FDY27,OUT049,1593.9252
NCP54,OUT013,1992.0736
NCZ41,OUT049,1012.016
DRL49,OUT013,854.8872
FDI05,OUT018,1805.6496
FDY56,OUT045,7222.5984
DRC13,OUT013,2956.152
NCV29,OUT017,5688.5952
FDR24,OUT049,1707.777
FDZ34,OUT018,3861.64
FDP37,OUT035,1670.4922
FDX08,OUT027,7968.2944
FDS57,OUT045,3231.1274
NCG18,OUT049,1845.5976
FDK25,OUT018,4548.0798
FDH53,OUT049,316.9208
DRI59,OUT018,3197.1716
FDA52,OUT046,3528.74
FDT20,OUT010,33.29
FDE36,OUT019,328.9052
FDI24,OUT017,4234.488
FDB28,OUT018,3361.6242
FDV11,OUT017,2101.2648
FDP01,OUT046,1829.6184
FDD34,OUT027,906.8196
FDJ50,OUT027,1821.6288
FDZ44,OUT013,3115.944
DRO59,OUT035,154.4656
DRB48,OUT045,314.2576
FDR21,OUT018,5645.984
NCE42,OUT010,711.0744
FDO23,OUT046,1957.452
NCE30,OUT018,4194.54
FDQ22,OUT035,575.2512
FDY01,OUT045,1958.1178
FDS08,OUT017,1263.0226
FDG28,OUT018,3675.216
FDQ51,OUT018,443.4228
FDB05,OUT017,1506.0396
FDO56,OUT049,2519.3872
FDE02,OUT018,275.6412
FDN45,OUT017,4470.1812
FDS09,OUT013,295.6152
NCA54,OUT018,1629.8784
FDP09,OUT010,427.4436
FDC53,OUT045,2167.8448
NCM55,OUT017,1470.0864
FDL09,OUT018,2748.4224
FDA11,OUT019,492.692
FDA50,OUT045,1061.951
FDC23,OUT017,3803.0496
FDE22,OUT049,316.9208
FDD23,OUT046,5238.5144
NCA29,OUT049,5690.5926
FDK38,OUT046,2524.0478
DRC13,OUT046,2157.192
NCP43,OUT049,1605.9096
FDX28,OUT049,2759.0752
FDF08,OUT049,1845.5976
FDZ33,OUT046,1182.4608
FDD10,OUT049,2535.3664
FDO58,OUT017,1677.1502
FDI50,OUT017,1386.1956
FDO58,OUT045,2631.2416
FDX08,OUT013,2544.6876
NCK17,OUT010,41.9454
FDF39,OUT035,4996.829
FDU45,OUT010,223.7088
NCJ18,OUT018,1006.6896
DRC27,OUT019,245.6802
DRC25,OUT035,2061.3168
FDU59,OUT035,1188.453
FDU28,OUT035,4303.0654
NCP30,OUT046,353.5398
FDB39,OUT018,1201.1032
FDE41,OUT013,610.5386
DRH11,OUT010,191.7504
FDA58,OUT045,3344.9792
FDU50,OUT046,671.1264
FDM34,OUT013,516.6608
FDM44,OUT027,966.7416
FDR39,OUT045,1118.544
FDM25,OUT045,2988.1104
FDQ49,OUT049,1095.241
DRH25,OUT018,377.5086
FDM09,OUT027,3523.4136
FDL44,OUT019,477.3786
NCR42,OUT018,372.848
DRL59,OUT046,718.3982
FDX43,OUT013,2111.9176
DRK47,OUT010,689.103
FDU48,OUT018,1977.426
FDY12,OUT045,780.9834
NCN43,OUT018,829.5868
NCM55,OUT018,3169.208
FDQ21,OUT027,3572.017
FDX13,OUT035,2490.092
NCK30,OUT027,7472.2734
FDG20,OUT049,1239.7196
DRG27,OUT017,1312.9576
FDY14,OUT018,3542.056
FDP59,OUT035,2579.975
FDU60,OUT017,3257.7594
NCC18,OUT019,171.7764
DRJ39,OUT017,1959.4494
FDS07,OUT049,3243.7776
FDM08,OUT027,7158.6816
FDP51,OUT045,2014.7108
FDU16,OUT035,1949.4624
FDH12,OUT013,958.752
DRE48,OUT010,384.8324
NCL42,OUT027,7150.692
FDR21,OUT045,2336.958
NCW29,OUT035,778.986
FDO11,OUT013,10256.649
NCM31,OUT049,3261.7542
FDV35,OUT019,312.926
FDF58,OUT017,916.1408
NCE43,OUT049,2897.5616
FDA02,OUT035,4082.6856
DRL37,OUT010,131.8284
FDR24,OUT018,1258.362
FDW59,OUT049,761.0094
FDS22,OUT049,1115.215
FDW24,OUT017,837.5764
FDU24,OUT035,2496.75
FDA21,OUT027,3715.164
FDH58,OUT027,2488.7604
FDW36,OUT018,1012.016
FDI45,OUT027,7298.4996
FDU01,OUT018,3844.995
FDF35,OUT027,1637.868
FDU43,OUT019,228.3694
FDE24,OUT019,143.8128
FDK50,OUT049,1779.6834
FDG31,OUT045,710.4086
FDC60,OUT045,2833.6448
FDL36,OUT013,1348.245
FDP21,OUT013,3795.06
FDW16,OUT045,543.2928
FDX02,OUT017,1350.2424
FDQ58,OUT027,906.8196
FDT51,OUT046,1627.881
FDD59,OUT049,649.8208
NCM42,OUT018,1941.4728
